"","Difference","0.95 CI"
"0.9 < p","0.006","[0.002, 0.008]"
"0.8 < p < 0.9","-0.007","[-0.011, -0.004]"
"0.7 < p < 0.8","-0.007","[-0.011, -0.004]"
"0.6 < p < 0.7","-0.011","[-0.016, -0.009]"
"0.5 < p < 0.6","-0.007","[-0.011, -0.004]"
"0.4 < p < 0.5","-0.012","[-0.016, -0.009]"
"0.3 < p < 0.4","-0.015","[-0.02, -0.012]"
"0.2 < p < 0.3","-0.018","[-0.023, -0.015]"
"0.1 < p < 0.2","-0.017","[-0.022, -0.013]"
"0.05 < p < 0.1","-0.007","[-0.01, -0.005]"
"0.01 < p < 0.05","0.002","[-0.002, 0.005]"
"0.001 < p < 0.01","0.008","[0.006, 0.011]"
"p < 0.001","0.087","[0.053, 0.128]"
"ESR_{0.1}^{all}","0.089","[0.063, 0.128]"
"ESR_{0.05}^{all}","0.096","[0.068, 0.138]"
"ESR_{0.1}^{sig}","0.153","[0.129, 0.191]"
"ESR_{0.05}^{sig}","0.181","[0.153, 0.227]"
"No. of meta-analysis","704","0"
"No. of tests","63956","0"
